Data;ID_venda;Filial;Vendedor;Nome_produto;Nome_cliente;Genero_cliente;Forma_pagamento
25/09/2021;617404;Belo Horizonte;Dr. Luan Borges;Copa;Rodrigo Sousa;Feminino;PIX
20/09/2021;242983;Curitiba;Samuel das Neves;X;Srta. Hadassa Pacheco;Masculino;Cartão de débito
28/09/2021;467514;Rio de Janeiro;João da Luz;Papete;Marcela Santos;Feminino;Cartão de crédito
29/09/2021;189628;Belo Horizonte;Dr. Luan Borges;Tiririca;Sr. Kevin Vasconcelos;Feminino;Cartão de crédito
11/09/2021;709867;Belo Horizonte;Dr. Marcelo Teixeira;Air Force 1;Vitória Sampaio;Masculino;Cartão de débito
06/09/2021;440876;Belo Horizonte;Thales Viana;Rasteira;Luísa Azevedo;Masculino;Cartão de débito
06/09/2021;649974;Porto Alegre;Isabelly Cirino;Dunk;Srta. Alícia Correia;Masculino;PIX
26/09/2021;370892;Porto Alegre;Enzo Gabriel Guerra;Papete;Valentim Jesus;Feminino;Cartão de crédito
20/09/2021;524759;Porto Alegre;Enzo Gabriel Guerra;Palha;Enzo Caldeira;Feminino;PIX
07/09/2021;853748;Curitiba;Gael Henrique Siqueira;Topper;Sra. Nicole Campos;Feminino;PIX
09/09/2021;880126;Porto Alegre;Igor Porto;Cambio;Clara da Luz;Masculino;Cartão de crédito
21/09/2021;220187;Porto Alegre;Enzo Gabriel Guerra;Lacoste;Bento Monteiro;Masculino;Cartão de crédito
08/09/2021;811239;Curitiba;Oliver Sales;Papete;Luiz Otávio Melo;Masculino;PIX
13/09/2021;381289;São Paulo;Pietro Alves;Copa;Fernando Cavalcanti;Feminino;Cartão de débito
03/09/2021;982564;Belo Horizonte;Maitê Jesus;Vermelha;Clarice Monteiro;Masculino;PIX
13/09/2021;231963;Curitiba;Pedro Henrique Casa Grande;Palace;João Brito;Feminino;PIX
15/09/2021;782644;São Paulo;Murilo Cavalcante;Alpargata;Ana Julia da Mota;Masculino;Cartão de débito
07/09/2021;410955;Porto Alegre;Enzo Gabriel Guerra;Dunk;Oliver da Mota;Masculino;Cartão de crédito
27/09/2021;177054;Porto Alegre;Isabelly Cirino;Tiririca;Mariana Fonseca;Masculino;Cartão de débito
29/09/2021;929274;Curitiba;Valentim Barbosa;Melissa;Liam da Mata;Feminino;Cartão de débito
01/09/2021;701462;São Paulo;Murilo Cavalcante;Predator;Srta. Olívia Moreira;Masculino;PIX
08/09/2021;528330;Belo Horizonte;Francisco Macedo;Cambio;Srta. Ana Cavalcante;Feminino;PIX
01/09/2021;832520;Rio de Janeiro;Dr. Luigi Nascimento;Cambio;Beatriz Marques;Feminino;PIX
28/09/2021;766803;São Paulo;Valentim da Paz;Schutz;Eduardo da Mota;Feminino;Cartão de crédito
13/09/2021;971933;Belo Horizonte;Sr. Valentim Duarte;Alpargata;Lunna Viana;Masculino;Cartão de débito
14/09/2021;593991;Belo Horizonte;Dr. Marcelo Teixeira;X;Luiz Gustavo Aragão;Feminino;Cartão de crédito
12/09/2021;725539;São Paulo;Dr. Lorenzo Camargo;Copa;Jade Melo;Feminino;Cartão de crédito
15/09/2021;386374;Curitiba;Gael Henrique Siqueira;Copa;Brayan Martins;Masculino;Cartão de débito
19/09/2021;390793;Belo Horizonte;Thales Viana;Palha;Pietra Pereira;Feminino;Cartão de crédito
01/09/2021;693948;São Paulo;Theo da Cruz;Predator;Oliver da Costa;Feminino;Cartão de débito
10/09/2021;723272;Curitiba;Pedro Henrique Casa Grande;X;Luísa Dias;Feminino;Cartão de débito
03/09/2021;136251;Belo Horizonte;Maitê Jesus;Schutz;Breno Albuquerque;Masculino;PIX
13/09/2021;437106;Rio de Janeiro;João da Luz;Melissa;Luigi Porto;Masculino;PIX
17/09/2021;807072;Curitiba;Sr. Luan Fernandes;Predator;Srta. Ana Carolina Melo;Feminino;Cartão de débito
09/09/2021;523377;São Paulo;Valentim da Paz;Blazer;Josué Mendonça;Masculino;Cartão de crédito
23/09/2021;587699;Curitiba;Samuel das Neves;Blazer;Arthur Gabriel da Mata;Feminino;PIX
16/09/2021;888278;Rio de Janeiro;Dr. Breno Ramos;Nemeziz;Luiz Gustavo Nunes;Feminino;Cartão de crédito
30/09/2021;484092;São Paulo;Pedro Lucas da Luz;Air Force 1;Eloá Peixoto;Feminino;PIX
01/09/2021;746516;Belo Horizonte;Francisco Macedo;Papete;Augusto Pereira;Feminino;Cartão de débito
30/09/2021;788785;São Paulo;Nathan Montenegro;Tiririca;Maria Oliveira;Masculino;Cartão de crédito
16/09/2021;858310;Curitiba;Pedro Henrique Casa Grande;Rasteira;Maria Luiza Macedo;Masculino;Cartão de débito
09/09/2021;260576;São Paulo;Nathan Montenegro;Tiririca;Alícia Silva;Masculino;Cartão de débito
27/09/2021;362858;São Paulo;Pietro Alves;Predator;Sr. Luiz Felipe Sampaio;Feminino;PIX
05/09/2021;250885;Rio de Janeiro;Leandro da Costa;Vizzano;Mirella Santos;Feminino;PIX
01/09/2021;606311;São Paulo;Pietro Alves;Palace;Aylla Carvalho;Masculino;Cartão de débito
02/09/2021;526272;Porto Alegre;Davi Luiz Farias;Schutz;Ana Carolina Cavalcanti;Masculino;PIX
25/09/2021;492398;São Paulo;Murilo Cavalcante;X;Fernando Leão;Masculino;Cartão de débito
25/09/2021;472898;São Paulo;Nathan Montenegro;Schutz;Luna Sousa;Feminino;Cartão de crédito
17/09/2021;285271;Curitiba;Sr. Luan Fernandes;Mercurial;Sra. Heloisa Cirino;Masculino;Cartão de crédito
06/09/2021;687631;Curitiba;Pedro Henrique Casa Grande;Mercurial;Ana Júlia Aragão;Masculino;Cartão de crédito
22/09/2021;135638;Rio de Janeiro;João Miguel Fonseca;Dunk;Larissa da Conceição;Feminino;Cartão de crédito
16/09/2021;767796;Belo Horizonte;Dr. Marcelo Teixeira;Vermelha;Caroline Nogueira;Masculino;Cartão de crédito
23/09/2021;175242;São Paulo;Pietro Alves;Blazer;Sr. Kaique da Cruz;Masculino;PIX
24/09/2021;479973;São Paulo;Pietro Alves;Predator;Guilherme Fonseca;Masculino;PIX
02/09/2021;209934;Rio de Janeiro;Pedro Aparecida;Anabela;Srta. Heloisa Melo;Feminino;PIX
21/09/2021;882838;Belo Horizonte;Dr. Luan Borges;Topper;Diogo Aragão;Feminino;Cartão de crédito
11/09/2021;991668;Rio de Janeiro;Dr. Luigi Nascimento;Lacoste;Maria Eduarda Mendes;Feminino;Cartão de crédito
28/09/2021;788969;Rio de Janeiro;Dr. Luigi Nascimento;Melissa;Henry Moreira;Feminino;PIX
24/09/2021;957509;São Paulo;Pedro Lucas da Luz;Copa;Pedro Lucas Machado;Feminino;Cartão de débito
30/09/2021;864706;São Paulo;Dr. Lorenzo Camargo;Havaianas;Arthur Gabriel Andrade;Feminino;Cartão de débito
19/09/2021;297322;Rio de Janeiro;João Miguel Fonseca;Rasteira;Anthony Gabriel Casa Grande;Feminino;Cartão de débito
06/09/2021;363611;Porto Alegre;Mathias Leão;Jordan;Srta. Milena Pinto;Masculino;Cartão de crédito
20/10/2021;556066;Porto Alegre;Igor Porto;Cambio;Asafe Abreu;Masculino;Cartão de crédito
14/10/2021;579102;Belo Horizonte;Dr. Luan Borges;Rasteira;Lucas Gabriel Albuquerque;Feminino;Cartão de crédito
13/10/2021;969024;Belo Horizonte;Dr. Marcelo Teixeira;Cambio;Caio Ferreira;Masculino;Cartão de crédito
22/10/2021;970043;São Paulo;Pietro Alves;Vermelha;Antony Vieira;Masculino;Cartão de débito
13/10/2021;924347;Rio de Janeiro;João Miguel Fonseca;Melissa;Francisco Nascimento;Masculino;Cartão de crédito
25/10/2021;625312;Rio de Janeiro;João da Luz;Palace;Dra. Ana Carolina Rocha;Feminino;Cartão de débito
06/10/2021;140382;Porto Alegre;Mathias Leão;Schutz;Evelyn Guerra;Masculino;PIX
31/10/2021;898439;Porto Alegre;Isabelly Cirino;Cambio;Giovanna Campos;Feminino;Cartão de crédito
27/10/2021;393542;Belo Horizonte;Clarice Nogueira;Anabela;Sra. Elisa Alves;Masculino;Cartão de crédito
07/10/2021;721315;Porto Alegre;Igor Porto;Jordan;Dra. Vitória da Mota;Masculino;Cartão de crédito
12/10/2021;324917;Rio de Janeiro;Leandro da Costa;Dunk;Bárbara Ferreira;Feminino;Cartão de débito
21/10/2021;331369;Rio de Janeiro;João da Luz;Anabela;Dra. Maria Cecília Brito;Feminino;Cartão de débito
27/10/2021;385475;Belo Horizonte;Thales Viana;Beira Rio;Maria Júlia da Rocha;Feminino;Cartão de débito
02/10/2021;183719;Curitiba;Oliver Sales;Cambio;Agatha da Luz;Feminino;PIX
02/10/2021;690275;Porto Alegre;Enzo Gabriel Guerra;Lacoste;Dom Andrade;Feminino;Cartão de crédito
08/10/2021;320160;Rio de Janeiro;João Miguel Fonseca;Topper;Vitor Gabriel Correia;Feminino;PIX
29/10/2021;917185;Porto Alegre;Mathias Leão;Predator;Apollo Pereira;Feminino;PIX
14/10/2021;680364;Rio de Janeiro;Rafaela Rodrigues;Anabela;Henrique Moura;Feminino;Cartão de crédito
13/10/2021;797658;São Paulo;Murilo Cavalcante;Mercurial;Leandro Sousa;Feminino;PIX
05/10/2021;547221;Curitiba;Samuel das Neves;Blazer;Julia Montenegro;Masculino;PIX
10/10/2021;960097;São Paulo;Nathan Montenegro;Alpargata;Sra. Antonella Duarte;Masculino;Cartão de crédito
22/10/2021;611398;Belo Horizonte;Dr. Luan Borges;Air Force 1;Jade da Mata;Feminino;Cartão de crédito
25/10/2021;782296;Curitiba;Sr. Luan Fernandes;Dunk;Luara Pastor;Feminino;Cartão de crédito
28/10/2021;966147;São Paulo;Pedro Lucas da Luz;Palha;Laura Souza;Masculino;Cartão de crédito
27/10/2021;735925;Rio de Janeiro;Pedro Aparecida;Anabela;Srta. Ana Vargas;Feminino;PIX
25/10/2021;973022;São Paulo;Pedro Lucas da Luz;Rasteira;Anthony Gabriel da Cruz;Feminino;Cartão de débito
25/10/2021;437733;Curitiba;Valentim Barbosa;Jordan;Letícia Cavalcante;Masculino;PIX
22/10/2021;768642;Rio de Janeiro;Dr. Breno Ramos;Melissa;Sr. Nathan Novaes;Feminino;Cartão de débito
13/10/2021;590825;Rio de Janeiro;Pedro Aparecida;Nemeziz;Diogo da Mota;Masculino;Cartão de crédito
20/10/2021;104579;Curitiba;Samuel das Neves;Beira Rio;Emanuelly Caldeira;Feminino;Cartão de débito
02/10/2021;664511;Rio de Janeiro;Leandro da Costa;Copa;Enzo Gabriel Barbosa;Feminino;Cartão de crédito
10/10/2021;707115;Curitiba;Gael Henrique Siqueira;X;Juliana Marques;Feminino;Cartão de débito
10/10/2021;690092;Porto Alegre;Davi Luiz Farias;Cambio;Luiz Otávio Almeida;Feminino;PIX
21/10/2021;857543;Porto Alegre;Davi Luiz Farias;Vizzano;Mirella da Cruz;Masculino;Cartão de débito
07/10/2021;920041;Curitiba;Luiz Henrique Nogueira;Beira Rio;Luan Rezende;Masculino;Cartão de crédito
30/10/2021;409084;Belo Horizonte;Dr. Luan Borges;Cambio;Zoe Abreu;Masculino;PIX
15/10/2021;117786;Rio de Janeiro;Pedro Aparecida;Air Force 1;Calebe Casa Grande;Feminino;Cartão de crédito
18/10/2021;965721;São Paulo;Dr. Lorenzo Camargo;Havaianas;Allana da Rosa;Masculino;Cartão de crédito
09/10/2021;925753;Rio de Janeiro;Leandro da Costa;Copa;Sra. Sophie Duarte;Feminino;Cartão de crédito
16/10/2021;453506;Porto Alegre;Isabelly Cirino;Vermelha;Joaquim Almeida;Masculino;Cartão de crédito
11/10/2021;478257;Belo Horizonte;Dr. Luan Borges;Melissa;Luiza da Luz;Masculino;PIX
24/10/2021;230168;Porto Alegre;Marina da Mota;Vizzano;Ana Sophia Fogaça;Feminino;PIX
22/10/2021;615181;Porto Alegre;Isabelly Cirino;Dunk;Dr. Pedro Miguel Vieira;Masculino;Cartão de débito
12/10/2021;682344;Porto Alegre;Igor Porto;Lacoste;Rebeca Moraes;Masculino;PIX
17/10/2021;855058;São Paulo;Pietro Alves;Palace;Bento Rocha;Feminino;PIX
01/10/2021;866108;São Paulo;Valentim da Paz;Schutz;Isaque Pires;Feminino;Cartão de crédito
25/10/2021;896921;Curitiba;Gael Henrique Siqueira;X;Vitor Moura;Feminino;Cartão de crédito
31/10/2021;370368;Belo Horizonte;Clarice Nogueira;Mercurial;Danilo Nogueira;Masculino;PIX
23/10/2021;789091;Curitiba;Luiz Henrique Nogueira;Vizzano;Sr. Felipe Peixoto;Feminino;PIX
05/10/2021;896163;Rio de Janeiro;Dr. Breno Ramos;Tiririca;Ágatha Pinto;Masculino;Cartão de crédito
08/10/2021;792015;Rio de Janeiro;Dr. Breno Ramos;Topper;Ana Cecília Camargo;Feminino;Cartão de débito
08/10/2021;230565;Rio de Janeiro;Dr. Breno Ramos;Mercurial;Ana Liz Ferreira;Masculino;PIX
01/10/2021;976145;São Paulo;Theo da Cruz;Alpargata;Sara Santos;Feminino;Cartão de débito
24/10/2021;533067;Curitiba;Sr. Luan Fernandes;X;Ian Campos;Masculino;Cartão de débito
11/10/2021;943186;Porto Alegre;Enzo Gabriel Guerra;Air Force 1;Bella Brito;Feminino;Cartão de débito
22/10/2021;491564;São Paulo;Theo da Cruz;Anabela;Ágatha da Cunha;Masculino;Cartão de débito
28/10/2021;117438;Belo Horizonte;Dr. Marcelo Teixeira;Palace;Valentim Rocha;Masculino;PIX
06/10/2021;847310;São Paulo;Pietro Alves;Copa;Calebe Cavalcante;Masculino;PIX
14/10/2021;230066;São Paulo;Theo da Cruz;Rasteira;Alana Casa Grande;Masculino;Cartão de débito
16/10/2021;255789;Rio de Janeiro;João da Luz;X;Mathias Campos;Feminino;Cartão de crédito
23/10/2021;464699;Rio de Janeiro;João Miguel Fonseca;Vermelha;Clara Nascimento;Feminino;Cartão de débito
14/10/2021;410777;Curitiba;Oliver Sales;Rasteira;Sr. Samuel Cavalcanti;Masculino;PIX
29/10/2021;590446;São Paulo;Pedro Lucas da Luz;Anabela;Dr. Marcos Vinicius Camargo;Masculino;Cartão de crédito
19/10/2021;495844;Porto Alegre;Isabelly Cirino;Vermelha;Maria Sophia Cunha;Masculino;Cartão de débito
06/10/2021;277877;Belo Horizonte;Sr. Valentim Duarte;Nemeziz;Lívia Pires;Feminino;PIX
27/10/2021;397153;São Paulo;Murilo Cavalcante;Palha;Caroline da Cunha;Masculino;Cartão de débito
19/10/2021;313734;Porto Alegre;Mathias Leão;Cambio;Arthur Miguel Ramos;Masculino;PIX
16/10/2021;276622;São Paulo;Theo da Cruz;Dunk;Murilo Ramos;Masculino;PIX
01/10/2021;664789;Curitiba;Luiz Henrique Nogueira;Lacoste;Dra. Alexia Campos;Feminino;Cartão de crédito
23/10/2021;968013;Porto Alegre;Igor Porto;Tiririca;Pedro Henrique Dias;Feminino;Cartão de crédito
02/10/2021;594087;Porto Alegre;Dr. Davi Luiz Rezende;Anabela;Sr. Nicolas Brito;Feminino;Cartão de crédito
16/10/2021;763929;Rio de Janeiro;Dr. Breno Ramos;Lacoste;Igor Cassiano;Feminino;PIX
26/10/2021;571282;Porto Alegre;Davi Luiz Farias;Mercurial;Alexandre Porto;Feminino;Cartão de débito
30/10/2021;628956;Porto Alegre;Isabelly Cirino;Predator;Sr. Henry Gabriel Fonseca;Masculino;PIX
14/10/2021;892538;Belo Horizonte;Clarice Nogueira;Nemeziz;Luana Albuquerque;Feminino;PIX
26/10/2021;504460;Porto Alegre;Davi Luiz Farias;Havaianas;Vitória Costela;Feminino;Cartão de débito
30/10/2021;138229;Rio de Janeiro;Pedro Aparecida;X;Dr. Luiz Otávio Castro;Feminino;Cartão de débito
05/10/2021;787320;Rio de Janeiro;Rafaela Rodrigues;Lacoste;Natália Andrade;Masculino;PIX
04/10/2021;620052;Curitiba;Sr. Luan Fernandes;Melissa;Heloisa Pereira;Masculino;PIX
04/10/2021;479974;São Paulo;Pietro Alves;Predator;Srta. Maria Clara Gonçalves;Masculino;PIX
27/10/2021;709856;São Paulo;Pedro Lucas da Luz;Alpargata;Maria Julia Oliveira;Masculino;PIX
10/10/2021;115844;Porto Alegre;Davi Luiz Farias;Schutz;Alícia Câmara;Feminino;Cartão de débito
21/10/2021;819757;Belo Horizonte;Francisco Macedo;Jordan;Sra. Luara Casa Grande;Masculino;Cartão de crédito
15/10/2021;450974;Belo Horizonte;Maitê Jesus;Vizzano;Juliana Viana;Masculino;PIX
14/10/2021;821317;Rio de Janeiro;Pedro Aparecida;Mercurial;Lorena Fernandes;Feminino;Cartão de crédito
03/10/2021;877072;Rio de Janeiro;Dr. Luigi Nascimento;Dunk;Ana Júlia Nunes;Feminino;PIX
18/10/2021;865770;Porto Alegre;Mathias Leão;Palha;Dra. Maria Alice Ferreira;Masculino;PIX
24/10/2021;517285;São Paulo;Valentim da Paz;Cambio;Isis Monteiro;Masculino;Cartão de crédito
18/10/2021;150182;Curitiba;Pedro Henrique Casa Grande;Papete;Erick Rocha;Masculino;PIX
23/10/2021;474355;São Paulo;Nathan Montenegro;Nemeziz;Beatriz Brito;Feminino;Cartão de débito
07/10/2021;364827;Belo Horizonte;Dr. Marcelo Teixeira;Blazer;Vinícius Marques;Feminino;PIX
04/10/2021;328480;Curitiba;Samuel das Neves;Tiririca;Manuela Cassiano;Masculino;Cartão de débito
24/10/2021;682491;Porto Alegre;Marina da Mota;Cambio;Srta. Sarah Macedo;Feminino;Cartão de débito
21/10/2021;113542;Belo Horizonte;Maitê Jesus;Copa;Henry Sales;Feminino;PIX
18/10/2021;967538;Porto Alegre;Isabelly Cirino;Papete;Juan Guerra;Feminino;Cartão de crédito
03/10/2021;763252;Porto Alegre;Isabelly Cirino;Tiririca;Pedro Miguel Pereira;Masculino;Cartão de crédito
20/10/2021;838662;Belo Horizonte;Clarice Nogueira;Predator;Dra. Giovanna Sampaio;Feminino;PIX
30/10/2021;940547;Curitiba;Sr. Luan Fernandes;Dunk;Maria Vitória da Conceição;Feminino;PIX
05/10/2021;595396;Porto Alegre;Mathias Leão;Palha;Bianca Lima;Masculino;PIX
03/10/2021;495168;São Paulo;Pedro Lucas da Luz;Cambio;Alícia Vasconcelos;Feminino;PIX
03/10/2021;562961;São Paulo;Pietro Alves;Havaianas;Rael Cavalcanti;Masculino;Cartão de débito
20/10/2021;410160;Curitiba;Oliver Sales;Palha;Nicolas Montenegro;Masculino;PIX
30/10/2021;847858;Porto Alegre;Dr. Davi Luiz Rezende;Vizzano;Gabriel Barbosa;Feminino;Cartão de crédito
03/10/2021;168481;Curitiba;Oliver Sales;Anabela;Maysa Campos;Masculino;PIX
22/10/2021;412333;Belo Horizonte;Sr. Valentim Duarte;Copa;Srta. Maria Júlia Rodrigues;Feminino;Cartão de crédito
28/10/2021;477927;Belo Horizonte;Maitê Jesus;Lacoste;Ana Júlia Sampaio;Masculino;Cartão de débito
02/10/2021;531947;São Paulo;Nathan Montenegro;X;Sra. Esther Barros;Masculino;Cartão de crédito
26/10/2021;582374;São Paulo;Murilo Cavalcante;X;Dr. Lucas Gabriel Marques;Masculino;Cartão de crédito
25/10/2021;627904;Porto Alegre;Isabelly Cirino;Nemeziz;Danilo Cunha;Masculino;Cartão de débito
13/10/2021;344061;São Paulo;Pedro Lucas da Luz;Jordan;Ana Clara Cunha;Feminino;Cartão de débito
21/10/2021;207624;Porto Alegre;Isabelly Cirino;Alpargata;Larissa Carvalho;Masculino;PIX
29/10/2021;722527;São Paulo;Theo da Cruz;Alpargata;Eduardo Mendes;Feminino;PIX
30/10/2021;840117;Curitiba;Sr. Luan Fernandes;Papete;Dra. Gabrielly Araújo;Feminino;PIX
14/10/2021;104820;Porto Alegre;Marina da Mota;Predator;Emanuelly Vieira;Feminino;Cartão de débito
06/10/2021;608667;Belo Horizonte;Maitê Jesus;Nemeziz;João Guilherme Sales;Masculino;PIX
12/11/2021;554091;Belo Horizonte;Maitê Jesus;Predator;Zoe Araújo;Feminino;PIX
09/11/2021;904234;Belo Horizonte;Francisco Macedo;Melissa;Sophie Macedo;Masculino;Cartão de crédito
08/11/2021;495282;Porto Alegre;Enzo Gabriel Guerra;Papete;Sr. Antony Melo;Masculino;Cartão de débito
09/11/2021;860812;Rio de Janeiro;Rafaela Rodrigues;Vermelha;Bento Aparecida;Feminino;PIX
16/11/2021;308081;Porto Alegre;Mathias Leão;Cambio;Dr. Liam Siqueira;Feminino;Cartão de débito
12/11/2021;902054;Belo Horizonte;Dr. Marcelo Teixeira;Jordan;Stella Abreu;Masculino;Cartão de crédito
10/11/2021;574414;São Paulo;Dr. Lorenzo Camargo;Lacoste;Melissa Silva;Masculino;Cartão de crédito
23/11/2021;796565;Curitiba;Sr. Luan Fernandes;Air Force 1;Srta. Cecília Novaes;Masculino;Cartão de crédito
22/11/2021;752020;Belo Horizonte;Sr. Valentim Duarte;Nemeziz;Mathias Brito;Feminino;Cartão de débito
06/11/2021;939750;Porto Alegre;Igor Porto;Cambio;Lorenzo Ramos;Feminino;PIX
05/11/2021;151291;Porto Alegre;Dr. Davi Luiz Rezende;Rasteira;Benício Guerra;Masculino;PIX
03/11/2021;263287;Rio de Janeiro;Rafaela Rodrigues;Beira Rio;Sr. Yuri Montenegro;Masculino;Cartão de crédito
24/11/2021;998128;Belo Horizonte;Dr. Marcelo Teixeira;Air Force 1;Júlia Nascimento;Masculino;Cartão de débito
06/11/2021;779850;Rio de Janeiro;João Miguel Fonseca;Palha;Sra. Sofia Novais;Feminino;Cartão de crédito
21/11/2021;339607;Curitiba;Samuel das Neves;Cambio;Danilo Viana;Masculino;PIX
17/11/2021;488444;Belo Horizonte;Dr. Marcelo Teixeira;Rasteira;Gustavo Henrique da Cruz;Feminino;PIX
01/11/2021;378911;São Paulo;Theo da Cruz;Melissa;José Casa Grande;Masculino;PIX
05/11/2021;616162;Belo Horizonte;Maitê Jesus;Cambio;Amanda Pinto;Feminino;Cartão de débito
09/11/2021;732049;Curitiba;Gael Henrique Siqueira;Palha;Ana Vitória Peixoto;Feminino;Cartão de débito
11/11/2021;612040;Belo Horizonte;Dr. Luan Borges;Tiririca;Daniela Costa;Feminino;PIX
14/11/2021;655222;Belo Horizonte;Francisco Macedo;X;Evelyn Gonçalves;Feminino;Cartão de débito
12/11/2021;669140;Curitiba;Valentim Barbosa;Mercurial;Lívia Abreu;Feminino;Cartão de débito
19/11/2021;901814;Curitiba;Sr. Luan Fernandes;Predator;Matheus Aparecida;Feminino;PIX
20/11/2021;703949;Rio de Janeiro;Rafaela Rodrigues;Cambio;José Pedro das Neves;Feminino;Cartão de débito
15/11/2021;589422;Rio de Janeiro;Pedro Aparecida;Palace;Giovanna Oliveira;Masculino;PIX
09/11/2021;321423;Porto Alegre;Isabelly Cirino;Lacoste;Samuel Campos;Feminino;PIX
16/11/2021;205084;Porto Alegre;Davi Luiz Farias;Beira Rio;Benjamin Sales;Masculino;PIX
14/11/2021;945574;São Paulo;Valentim da Paz;Dunk;Ana Liz Casa Grande;Masculino;Cartão de crédito
12/11/2021;706935;Rio de Janeiro;Rafaela Rodrigues;Vermelha;Elisa Costela;Masculino;Cartão de débito
17/11/2021;723730;Porto Alegre;Davi Luiz Farias;Lacoste;Ana Luiza Correia;Masculino;Cartão de crédito
10/11/2021;139068;Rio de Janeiro;Rafaela Rodrigues;Rasteira;João Miguel Machado;Feminino;Cartão de débito
20/11/2021;982088;Belo Horizonte;Clarice Nogueira;Havaianas;Hadassa Aragão;Feminino;Cartão de débito
27/11/2021;610423;São Paulo;Pietro Alves;Havaianas;Theo Martins;Masculino;Cartão de débito
08/11/2021;446087;Belo Horizonte;Francisco Macedo;Schutz;Lorena Lopes;Feminino;PIX
24/11/2021;160848;Belo Horizonte;Francisco Macedo;Schutz;Alice Vieira;Feminino;PIX
09/11/2021;103798;Porto Alegre;Dr. Davi Luiz Rezende;Cambio;Samuel Cunha;Feminino;Cartão de crédito
14/11/2021;717032;Curitiba;Oliver Sales;Vermelha;Sr. Theodoro Monteiro;Feminino;PIX
02/11/2021;145405;São Paulo;Pedro Lucas da Luz;Beira Rio;Sr. André Dias;Masculino;Cartão de débito
01/11/2021;969182;Belo Horizonte;Maitê Jesus;Palha;Rafael Cunha;Feminino;Cartão de débito
22/11/2021;843884;Curitiba;Gael Henrique Siqueira;Vermelha;Antony Lima;Masculino;Cartão de débito
06/11/2021;252891;Curitiba;Pedro Henrique Casa Grande;Schutz;Laís da Luz;Masculino;Cartão de crédito
14/11/2021;141120;Rio de Janeiro;Rafaela Rodrigues;Anabela;Srta. Emanuella da Luz;Feminino;Cartão de crédito
27/11/2021;762479;Curitiba;Pedro Henrique Casa Grande;Anabela;Dr. Léo Abreu;Feminino;Cartão de crédito
16/11/2021;845480;Belo Horizonte;Clarice Nogueira;Palace;Bárbara Silveira;Masculino;Cartão de crédito
19/11/2021;832158;Belo Horizonte;Dr. Marcelo Teixeira;Beira Rio;Dra. Ana Luiza da Rosa;Masculino;Cartão de crédito
22/11/2021;927001;Belo Horizonte;Sr. Valentim Duarte;Rasteira;Henrique Cavalcanti;Feminino;PIX
20/11/2021;940388;São Paulo;Theo da Cruz;Palha;Ana Carolina Pacheco;Feminino;Cartão de crédito
25/11/2021;478721;São Paulo;Nathan Montenegro;Jordan;Josué Almeida;Masculino;Cartão de débito
28/11/2021;637391;Belo Horizonte;Francisco Macedo;Predator;Ana Liz Martins;Feminino;Cartão de crédito
11/11/2021;251093;Rio de Janeiro;Dr. Breno Ramos;Alpargata;Maria Melo;Feminino;Cartão de crédito
11/11/2021;598007;Rio de Janeiro;Dr. Breno Ramos;Papete;Felipe Rocha;Masculino;Cartão de crédito
14/11/2021;620202;São Paulo;Pedro Lucas da Luz;Copa;José Moreira;Feminino;Cartão de débito
26/11/2021;321704;São Paulo;Nathan Montenegro;Blazer;Ayla Araújo;Masculino;Cartão de débito
25/11/2021;863754;Porto Alegre;Marina da Mota;Schutz;Erick Ferreira;Feminino;PIX
06/11/2021;644908;Curitiba;Luiz Henrique Nogueira;Beira Rio;Ana Ramos;Masculino;PIX
05/11/2021;672144;Porto Alegre;Dr. Davi Luiz Rezende;Anabela;Dr. João Pedro Santos;Feminino;Cartão de débito
14/11/2021;537783;Curitiba;Oliver Sales;Anabela;Gustavo Henrique Fernandes;Masculino;PIX
30/11/2021;182253;Belo Horizonte;Dr. Luan Borges;Tiririca;Benício Silva;Feminino;Cartão de crédito
23/11/2021;756598;Belo Horizonte;Sr. Valentim Duarte;Jordan;Oliver da Cruz;Feminino;Cartão de débito
06/11/2021;125187;Rio de Janeiro;Rafaela Rodrigues;Cambio;Manuella Abreu;Masculino;Cartão de débito
02/11/2021;823715;Curitiba;Oliver Sales;Predator;Giovanna Monteiro;Masculino;PIX
30/11/2021;762283;Porto Alegre;Igor Porto;Tiririca;Dr. Danilo Costa;Feminino;PIX
05/11/2021;212870;Porto Alegre;Dr. Davi Luiz Rezende;Tiririca;Sra. Alana Borges;Masculino;Cartão de débito
04/11/2021;831854;Rio de Janeiro;João da Luz;Predator;Benício Novais;Masculino;Cartão de crédito
27/11/2021;673910;Belo Horizonte;Clarice Nogueira;Lacoste;Gael Siqueira;Masculino;Cartão de crédito
03/11/2021;951717;Belo Horizonte;Sr. Valentim Duarte;X;Sr. Matheus Monteiro;Masculino;PIX
18/11/2021;923869;Rio de Janeiro;João da Luz;Dunk;Laís Santos;Masculino;PIX
25/11/2021;710694;Belo Horizonte;Sr. Valentim Duarte;Mercurial;Maria Flor Cardoso;Feminino;Cartão de crédito
20/11/2021;516343;Rio de Janeiro;João da Luz;Melissa;Maya Souza;Masculino;Cartão de débito
25/11/2021;751778;Curitiba;Luiz Henrique Nogueira;Havaianas;José Pedro da Cunha;Masculino;Cartão de crédito
